Z,Symbol,Name,Status,Period,Group/Slot,Block,Family/Class,MQGT–SCF ToE Band,Matter Mode,Flow-Metal Role,Ψ Orbital/Shell Note,Φc Index (toy),E(x) Stability Bias,Confidence Tier,Source Note
1,H,Hydrogen,Confirmed; natural/terrestrial or trace,1,1,s,Reactive nonmetal,Genesis / seed field,Light-matter foundation,Proton-electron seed; universal flow reference,"Observed element; period 1, s-block (standard table slot)",0.074,0.95,Empirical / confirmed,IUPAC confirmed elements / official names; see Source Notes
2,He,Helium,Confirmed; natural/terrestrial or trace,1,18,s,Noble gas,Genesis / seed field,Light-matter foundation,Closed-shell inert anchor,"Observed element; period 1, s-block (standard table slot)",0.104,0.95,Empirical / confirmed,IUPAC confirmed elements / official names; see Source Notes
3,Li,Lithium,Confirmed; natural/terrestrial or trace,2,1,s,Alkali metal / predicted alkali,Charge reservoir / ignition shell,Light-matter foundation,Ion-source / charge-gradient node,"Observed element; period 2, s-block (standard table slot)",0.128,0.95,Empirical / confirmed,IUPAC confirmed elements / official names; see Source Notes
4,Be,Beryllium,Confirmed; natural/terrestrial or trace,2,2,s,Alkaline earth / predicted alkaline earth,Charge reservoir / ignition shell,Light-matter foundation,Ion-source / charge-gradient node,"Observed element; period 2, s-block (standard table slot)",0.147,0.95,Empirical / confirmed,IUPAC confirmed elements / official names; see Source Notes
5,B,Boron,Confirmed; natural/terrestrial or trace,2,13,p,Metalloid,Covalent information web,Light-matter foundation,Bonding network / life-chemistry logic,"Observed element; period 2, p-block (standard table slot)",0.165,0.95,Empirical / confirmed,IUPAC confirmed elements / official names; see Source Notes
6,C,Carbon,Confirmed; natural/terrestrial or trace,2,14,p,Reactive nonmetal,Covalent information web,Light-matter foundation,Bonding network / life-chemistry logic,"Observed element; period 2, p-block (standard table slot)",0.181,0.95,Empirical / confirmed,IUPAC confirmed elements / official names; see Source Notes
7,N,Nitrogen,Confirmed; natural/terrestrial or trace,2,15,p,Reactive nonmetal,Covalent information web,Light-matter foundation,Bonding network / life-chemistry logic,"Observed element; period 2, p-block (standard table slot)",0.195,0.95,Empirical / confirmed,IUPAC confirmed elements / official names; see Source Notes
8,O,Oxygen,Confirmed; natural/terrestrial or trace,2,16,p,Reactive nonmetal,Covalent information web,Light-matter foundation,Bonding network / life-chemistry logic,"Observed element; period 2, p-block (standard table slot)",0.209,0.95,Empirical / confirmed,IUPAC confirmed elements / official names; see Source Notes
9,F,Fluorine,Confirmed; natural/terrestrial or trace,2,17,p,Halogen,Covalent information web,Light-matter foundation,Bonding network / life-chemistry logic,"Observed element; period 2, p-block (standard table slot)",0.221,0.95,Empirical / confirmed,IUPAC confirmed elements / official names; see Source Notes
10,Ne,Neon,Confirmed; natural/terrestrial or trace,2,18,p,Noble gas,Covalent information web,Light-matter foundation,Bonding network / life-chemistry logic,"Observed element; period 2, p-block (standard table slot)",0.233,0.95,Empirical / confirmed,IUPAC confirmed elements / official names; see Source Notes
11,Na,Sodium,Confirmed; natural/terrestrial or trace,3,1,s,Alkali metal / predicted alkali,Charge reservoir / ignition shell,Light-matter foundation,Ion-source / charge-gradient node,"Observed element; period 3, s-block (standard table slot)",0.245,0.95,Empirical / confirmed,IUPAC confirmed elements / official names; see Source Notes
12,Mg,Magnesium,Confirmed; natural/terrestrial or trace,3,2,s,Alkaline earth / predicted alkaline earth,Charge reservoir / ignition shell,Light-matter foundation,Ion-source / charge-gradient node,"Observed element; period 3, s-block (standard table slot)",0.255,0.95,Empirical / confirmed,IUPAC confirmed elements / official names; see Source Notes
